x1,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
'fu k heck moved fridge ... knock landlord door #angry #mad',0,2,0,2,0,0,1.01,-2.709,0.619,-7.416,0,0,0,0,0,0,0,0,0,0,0.514248,0.213231,0.142099,0.227516,0.072978,0.087003,0.092474,0.304183,1.060439,0.38324,5.000469,0,0.244399,0.510226,0,0.949511,0.322101,0,0,-0.425298,0,0,0
'indian uber driver called someone n word moving vehicle i\'d jumped #disgusted',1,0,0,0,0,0,0.898,-2.457,0.776,-4.974,0,0,0,0,0,0,0,1,0,1,0.458763,0.177731,0.196404,0.309958,0.094109,0.144295,0.123338,0.267111,1.15976,0.41385,1.17888,1.199799,2.661056,1.121384,0.267772,0.016074,0.32129,0,0.208333,0,0,0,0
'@dpd_uk asked parcel delivered pick store address #fuming #poorcustomerservice',0,0,0,0,0,0,0.546,-0.499,0.776,-4.776,0,1,0,0,0,0,0,0,0,2,0.120935,0.149702,0.011455,0.044105,0.094303,0.036717,0.094324,0.324785,0.115472,0.379138,2.752856,1.810495,0.348634,0.477908,0,0,0.026199,0.658957,0.041667,-0.096875,0,0,0
'ef whichever butt wipe pulled fire alarm davis bc sound asleep #pissed #angry #upset #tired #sad #tired #hangry',1,1,0,1,0,-4,1.728,-9.284,3.173,-17.754,0,0,0,2,0,0,1,0,2,0,0.691163,0.209482,0.61768,0.400707,0.114566,0.728965,0.090463,0.361279,1.565861,0.62127,7.569186,1.058823,1.327044,0.897109,0.47631,3.803074,0.326148,0,1.123214,-0.366865,0,0,0
'join @btcare put phone talk rude taking money acc willynilly #fuming',0,1,0,1,1,-2,1.132,-2.512,0.363,-9.445,1,1,0,0,1,0,1,1,0,3,0.669519,0.13032,0.525134,0.158536,0.034637,0.375714,0.069289,0.098876,1.172722,0.117003,2.569538,0.852858,1.293886,0.082071,0.110504,0.288509,0.906695,0.120522,0.326389,-0.28125,0,0,0
'blood boiling',0,2,0,1,0,0,0,-0.933,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129092,0,0.349379,0.311129,0,0,0,0,0,-0.25,0,0,0
'still got whole season wentworth watch stupid cunt work ruin u ð­ ð­ @__kirstyga #raging #o',0,2,1,3,0,-9,0.488,-5.333,3.819,-5.479,0,1,0,2,0,1,0,0,2,0,0.82079,0.148374,1.019636,0.469384,0.149731,0.275139,0.123473,0.21721,1.972856,0.457987,3.728498,0.769483,0.846603,0.365773,0.253243,0.08889,0.726205,0,0.761335,-2.035714,0,0,0
'@bt_uk tracking show equipment delivered service suddenly delayed we\'ve already 3 week #fuming',0,0,0,1,0,-1,0.402,-4.026,1.61,-5.034,0,0,0,0,0,0,1,1,1,0,0.118029,0.237823,0.051208,0.11574,0.093887,0.052956,0.080195,0.216476,0.381025,0.461471,2.36351,2.44837,0.661747,2.73121,0.34833,0,0.31286,0,0.293056,-0.4375,0,0,0
'@teamshanny legit furious people fucking idiot',0,2,0,3,0,-10,0.5,-1.364,0.665,-1.915,1,0,2,0,0,0,0,0,2,0,0.766473,0.063349,0.746254,0.371896,0.031571,0.269787,0.063725,0.09726,1.517,0.162172,3.305672,0,0.879353,0.120752,0,0,0.329806,0,0,-0.09375,0,0,0
'suppose work wtf dude thanks pissing',0,0,1,0,2,-7,1.873,-3.841,1.249,-2.642,0,0,0,0,0,0,0,0,0,0,1.198145,0.438728,0.765335,0.567456,0.691305,0.694287,0.16099,0.521252,2.046013,0.891893,1.571314,0,1.063743,0,0.225111,0,0.801666,0,0.241543,-0.0625,0,0,0
