x1,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
'got back seeing @garydelaney burslem amazing face still hurt laughing much #hilarious',2,1,1,1,5,-2,2.331,-3.015,2.734,-1.592,1,0,0,1,1,1,0,0,1,1,0.302865,0.394259,0.118331,0.207111,0.915541,0.137826,0.382259,0.532585,1.005702,1.296682,0.50085,0.38118,0.618937,0,1.362849,0.616058,2.13945,0.415285,0.910417,-3.245833,0,0,0
'oh dear evening absolute hilarity think laughed much long time ð',2,1,0,0,3,0,2.523,-0.558,3.303,-1.984,0,2,0,0,1,0,0,0,0,3,0.363681,0.247428,0.162725,0.226024,0.214006,0.119986,0.250331,0.362715,1.036869,0.610279,0.610301,0.129463,0.656969,0.307405,1.847923,0.155956,0.1709,0,1.796644,-0.053472,0,0,0
'waiting week game ❤ ️ ❤ ️ ❤ ️ #cheer #friday ❤ ️',0,1,0,0,0,0,1.01,-0.335,3.071,-0.532,0,0,0,0,0,0,0,0,0,0,0.036991,0.090151,0.006462,0.048085,0.083907,0.014639,0.048389,0.034176,0.152657,0.114954,0,1.588289,0,2.234412,2.785946,0.159159,0.127967,0,0.125,-0.354167,0,0,0
'@gardiner_love thank much gloria sweet thoughtful made day joyful love ð',5,0,5,0,12,0,7.903,-0.079,6.918,-0.244,0,1,0,0,3,0,1,3,0,4,0.137466,0.518586,0.04787,0.092833,1.041511,0.109148,0.276274,0.893781,0.333777,1.614965,0,0,0,0,4.944546,0.148301,1.544667,0.331603,2.996131,-0.208333,0,0,0
'feel blessed work family nanny ❤ ️ nothing love appreciation make smile',3,0,3,0,7,0,6.893,-2.079,5.02,-0.803,0,0,0,0,4,0,1,2,0,4,0.191205,0.194791,0.0677,0.11158,0.522071,0.126232,0.130372,0.370479,0.490662,0.669951,0.135969,0,0.498629,0.22902,5.297163,1.743579,1.205361,0.460799,3.114376,0,0,0,1
'today reached 1000 subscriber yt #goodday #thankful',0,0,0,0,1,0,0.909,-0.166,3.376,-2.3,0,0,0,0,0,0,0,0,0,0,0.108195,0.654454,0.021808,0.086538,0.754208,0.078267,0.174997,0.621787,0.206779,1.222733,0,0,0,0.072489,4.392534,0.308582,0.702394,0.14142,0.25,0,0,0,0
'@singaholic121 good morning love happy first day fall let\'s make awesome #autumnmemories #annabailey #laughter #smile',4,1,4,1,13,0,6.7,-0.589,9.569,-0.237,0,2,0,0,3,1,1,2,1,3,0.114501,0.523943,0.053963,0.09488,1.074199,0.042452,0.35627,0.735755,0.174346,1.498178,0.282029,0.323454,0.08315,0.463079,7.810601,0.148301,1.166101,0.87675,5.685259,-0.112508,0,0,0
'#bridgetjonesbaby best thing i\'ve seen age funny i\'ve missed bridget #love #teammark',2,0,1,2,7,-2,3.875,-1.652,4.08,-2.107,0,0,0,0,0,0,0,0,0,0,0.544129,0.482205,0.212785,0.284211,1.116606,0.416654,0.322748,0.60727,1.319559,1.70829,0.292117,0,0.690031,0,2.01531,0.754718,0.961676,1.208868,1.385417,-0.336607,0,0,0
'got back seeing @garydelaney burslem amazing face still hurt laughing much',2,1,1,1,5,-2,2.331,-3.015,2.271,-1.592,1,0,0,1,1,1,0,0,1,1,0.302865,0.394259,0.118331,0.207111,0.915541,0.137826,0.382259,0.532585,1.005702,1.296682,0.50085,0,0.618937,0,1.362849,0.616058,1.457346,0.415285,0.910417,-3.245833,0,0,0
'@indymn thought holiday could get cheerful met #thenicebot',1,0,1,0,2,0,1.53,-0.899,2.435,-0.833,0,2,0,0,2,0,1,0,0,2,0.169608,0.210024,0.029591,0.053834,0.322306,0.062412,0.132006,0.296897,0.35722,0.481251,0.164112,0.10868,0,0.112091,2.162579,1.219207,0.792177,0,0.715756,-0.020833,0,0,0
