x1,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
'depression suck #depression',0,1,0,2,0,-3,0,-2.547,0,-4.417,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.269126,0,0.356446,1.8332,0.138675,1.889238,0,0,0,-0.513352,0,0,0
'feeling worthless always #depression',0,1,0,1,1,-2,0.266,-1.635,0.142,-5.49,2,1,2,1,1,2,1,1,2,1,0.058473,0.078923,0.028479,0.077646,0.076582,0.013664,0.067484,0.100202,0.108645,0.298888,0.315844,0,0.840289,1.865376,0.411465,0.905299,0,0.207212,0,-0.508333,0,0,0
'feeling worthless always',0,1,0,1,1,-2,0.266,-1.635,0.142,-2.878,2,1,2,1,1,2,1,1,2,1,0.058473,0.078923,0.028479,0.077646,0.076582,0.013664,0.067484,0.100202,0.108645,0.298888,0.315844,0,0.840289,0.396353,0.411465,0.208482,0,0.207212,0,-0.508333,0,0,0
'#fibromyalgia really bad lately good mental state feel overwhelmed #anxiety #bipolar #depression',1,1,1,2,3,-3,0.977,-4.018,0.865,-7.894,1,1,1,1,1,2,1,1,2,1,0.184525,0.051015,0.102304,0.092936,0.028924,0.111059,0.057027,0.041562,0.864015,0.137981,0.412981,0.180817,0.085605,7.099816,1.357995,1.78515,1.02438,0,3.337426,-1.89508,0,0,0
'im think ima lay bed day sulk life hitting hard rn',0,2,0,2,0,-1,0.335,-3.429,2.856,-1.29,0,0,0,0,0,0,0,0,0,0,1.209157,0.277467,0.499313,0.855915,0.108748,0.945063,0.198255,0.31928,2.598409,0.453484,0.866599,0.106743,0.480902,0,1.798295,0.577192,0.392332,1.090463,0.352001,-1.691071,0,0,0
'try fail ... try ... still fail ... #confused #lost',0,4,0,2,0,-4,0.739,-3.59,0,-5.958,0,0,0,0,0,0,0,0,0,0,1.146295,0.60213,0.676801,0.585556,0.114051,1.152714,0.565581,0.157557,4.335547,0.334241,0.863636,0,0,0.420477,0,1.339483,1.26065,1.739806,0.194643,-1.898719,0,0,0
'extreme sadness',0,2,0,1,0,0,0,-2.229,0,-0.453,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407875,0,0.262114,1.787718,0.062144,0,0,-0.84375,0,0,0
'life one word depressing',0,1,0,1,0,-2,0.771,-2.186,0.128,-0.926,0,0,1,0,0,1,0,1,1,1,0.056938,0.039459,0.027288,0.043383,0.031857,0.027686,0.03177,0.03039,0.179491,0.089459,0.063456,0.123332,0.094888,0,0.589349,1.679451,0,0.28358,0.09375,-0.25,0,0,0
'panic attack worst feeling really sick still shaking sleep #anxiety #depression',0,4,0,4,1,-9,0,-8.17,0.84,-7.915,2,1,2,4,1,2,1,1,5,1,0.470009,0.085238,0.787527,0.599865,0.033714,0.677101,0.107555,0.054147,1.723204,0.156764,0.679956,0,1.33604,8.654616,0.411465,0.905299,0.253762,0,0.604167,-3.685169,0,0,0
'feel grim ugly atm',0,2,0,2,0,-5,0,-3.493,0,-3.832,1,1,2,1,0,1,0,0,2,0,0.11335,0.022008,0.026357,0.031797,0.008486,0.020662,0.009303,0.015105,0.424622,0.020717,0.230207,0,2.008601,0.286178,0,1.406773,0.072982,0,0.308333,-1.585119,0,0,0
'honestly depression kicking as lately .. ð',1,1,0,1,0,0,0.172,-2.253,0.087,-1.77,1,0,0,0,0,1,0,0,1,0,0.289591,0.115364,0.159252,0.191957,0.057961,0.250677,0.070792,0.175157,1.343704,0.307528,0.45356,0,0.336897,0.364177,0.187986,1.277771,0.274416,0,0.3125,-0.471686,0,0,0
'age see gray gray bad eye perspective #depression #healingjustice',0,1,0,1,0,-5,1.983,-3.114,1.344,-3.916,1,0,3,1,0,3,0,0,1,0,0.077937,0.141983,0.005997,0.040599,0.128352,0.015244,0.196817,0.082499,0.110045,0.144962,0.26904,1.227203,0.343043,1.994431,0.430013,2.899724,0.126916,0.765538,0.73378,-1.89508,0,0,0
'3 idk start feeling depress sad lonely',0,3,0,3,1,-4,0.084,-8.743,0.612,-4.379,2,2,2,3,1,3,1,1,3,1,0.641502,0.132321,0.401588,0.524249,0.048004,1.024463,0.142123,0.048487,1.480816,0.04837,0,0,0.042088,1.059131,0.411465,5.513132,0.018428,0,0,-0.942147,0,0,0
'sulk much good',1,1,1,1,3,0,0.825,-1.505,0.656,-0.244,0,1,0,0,1,0,1,1,0,1,0.786221,0.071982,0.359217,0.535861,0.06201,0.739774,0.048043,0.21446,1.144615,0.315246,0,0,0,0,0.344825,0,0.602886,0,2.814807,-0.1875,0,0,0
'night depression winning ... #depression #fml #help',0,1,1,1,4,0,0.526,-1.937,0.968,-5.833,0,1,1,0,1,2,1,1,1,1,0.299959,0.07159,0.588557,0.235937,0.015887,0.352464,0.04596,0.032138,1.710439,0.06973,0.374525,0.1552,0.294919,3.166702,0.487483,2.271271,0.681271,0,0.395833,-0.471686,0,0,0
'going home depressing',0,1,0,1,0,-2,0,-2.595,0.575,-0.794,0,0,1,0,0,1,0,0,1,0,0.063518,0.252113,0.012176,0.051314,0.113598,0.042702,0.041886,0.135744,0.174437,0.329009,0,0,0,0.202429,0.345204,1.679451,0,0,0.03125,-0.583333,0,0,0
'can\'t even grieve one black body another one pop due pig brutality',1,3,0,3,0,0,0.529,-6.487,1.678,-0.982,1,0,1,2,0,2,1,0,5,0,0.265692,0.167094,0.284491,0.26978,0.114379,0.230938,0.141109,0.12159,1.26837,0.372326,0.103099,0.213991,1.416909,0.741694,0.44317,2.133612,0.332778,0,0.647392,-1.849797,0,0,1
'gloomy as day',0,1,0,1,0,-2,0.355,-1.35,2.562,-0.174,0,0,0,0,0,1,0,0,1,0,0.038404,0.055502,0.01866,0.04488,0.01725,0.030825,0.020568,0.038229,0.181774,0.073793,0,0,0,0,0.619082,2.206914,0,0,0.084524,-0.572917,0,0,0
'@fra93_bruno wow i\'m really sadden terrible',1,2,1,2,4,-5,0.41,-7.471,0.125,-2.422,1,0,1,1,0,1,0,0,1,0,0.220745,0.080643,0.102319,0.099886,0.093882,0.088386,0.206893,0.051081,0.605157,0.255304,0.024347,0,0.330105,0,0,0.31214,1.111414,0,0.6875,-0.972917,0,0,0
'head still ibiza body sat desk work #depressing',0,0,1,0,0,0,0,-3.551,1.695,-3.352,0,0,0,0,0,0,0,0,0,0,0.078562,0.146203,0.045488,0.101649,0.077372,0.09256,0.075184,0.08307,0.481236,0.146839,0.313424,0,0.164456,0.9105,0.137963,1.724794,1.24447,0,0.106127,-0.676488,0,0,0
'@ashleyavitia_ leave #sad',0,0,0,0,0,-1,0,-5.765,0,-4.458,0,0,0,0,0,1,1,0,1,0,0.371923,0.008761,0.532554,0.236804,0.000538,0.585823,0.010065,0.001933,0.977188,0.002357,0.266915,0,0,0.078836,0,2.31274,0,0,0,-0.044231,0,0,0
'depression suck',0,1,0,2,0,-3,0,-2.547,0,-1.805,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.269126,0,0.356446,0.364177,0.138675,1.192421,0,0,0,-0.513352,0,0,0
'week awful connectivity @tmobile service 4g im paying #unhappy #poorservice',0,1,0,1,0,-3,0.249,-3.685,0.768,-15.385,1,0,1,1,0,1,0,0,1,0,0.18901,0.20601,0.027997,0.047231,0.105825,0.091349,0.051877,0.192009,0.55517,0.304378,1.836878,0.215433,1.041784,0.424995,0.194949,1.443248,0.554888,0,0.25,-0.715774,0,0,0
'depressing shit ever',0,1,0,2,0,-6,0,-3.064,0,-1.863,1,0,2,0,0,1,0,0,2,0,0.070466,0.057098,0.10822,0.06914,0.083547,0.057492,0.13912,0.055907,0.348144,0.111704,0.380575,0,0.463271,0,0,1.679451,0.093935,0,0,-0.754167,0,0,0
'sometimes worst place head n n #quotes #worstenemy #depression #thinktoomuch',0,1,0,1,0,-3,0.179,-2.879,3.22,-4.951,0,0,0,0,0,0,0,0,0,0,0.530006,0.218817,0.795862,0.599759,0.207146,0.680323,0.133449,0.256722,1.746749,0.491295,0.531839,0.058946,0.38487,1.633299,1.796978,0.949393,0,1.047484,0.03125,-1.518032,0,0,0
'@tmobilehelp service cleveland oh what\'s going #unhappy',0,0,0,0,0,0,0,-1.113,0.145,-3.037,0,0,0,0,0,0,0,0,0,0,0.217085,0.235329,0.057847,0.091672,0.095681,0.089649,0.077359,0.167758,0.363527,0.328337,0.92085,0.470916,0.601113,0.41826,0,1.879047,0.21131,0,0,-0.395833,0,0,0
'sad evening clearing harvey\'s cage belonging final goodbye little man ... #depressing',0,2,0,1,0,-2,0.843,-4.826,2.773,-5.49,0,0,0,0,0,1,0,0,1,0,0.688043,0.205059,0.425873,0.525173,0.080171,0.988966,0.171661,0.266203,1.667726,0.304835,0.094914,0.146713,0.505494,1.351775,1.608866,4.76561,0.054317,0.087666,0.267857,-1.760119,0,0,0
'15 doe run opposite side ð #depress',0,0,0,0,0,0,0,-0.668,0.48,-0.596,0,0,0,0,0,0,0,0,0,0,0.088932,0.0975,0.022811,0.090472,0.058948,0.020406,0.065622,0.042685,0.199589,0.110872,0.077588,0.356106,0.137841,0.302345,0.009786,0.205679,0.335559,0.520074,0,-0.093183,0,0,0
'moment day start plaster smile face #depression',1,0,1,0,2,0,2.194,-1.152,2.598,-3.348,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.147247,0,0.385781,2.241788,2.22253,1.060484,0,0.077538,0.246131,-0.465064,0,0,0
'hate gloomy outside always get depressing mood',0,3,0,3,0,-7,0.266,-6.207,2.982,-2.645,1,0,2,1,0,3,0,0,3,0,0.287122,0.292096,0.089224,0.231352,0.160426,0.091479,0.197379,0.18746,0.75567,0.450284,1.389953,0,0.463547,0.095761,0.46945,4.705221,0,0.207212,0.079298,-1.302083,0,0,0
'people stealing thing work quite damper day going wear pajama day',0,1,1,2,0,-2,0.911,-3.266,2.256,-3.159,0,0,1,1,0,0,0,1,3,0,0.131401,0.221308,0.035217,0.081701,0.131267,0.040512,0.093632,0.079898,0.264111,0.310597,1.196907,0,0.97784,0.325599,1.376126,2.148148,0.84512,0,0.243924,-0.912401,0,0,0
'@flakejay ring ring #depression',0,0,0,0,0,0,0,-0.298,0,-2.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167987,0,0,2.213099,0,0.696817,0,0,0.03125,0,0,0,0
'september we\'re still battling situation said handled march year @att unacceptable #unhappy',0,1,0,1,0,-4,1.417,-4.722,1.37,-6.914,0,0,0,0,0,1,0,0,1,1,0.655605,0.272416,0.166961,0.733295,0.092845,0.410234,0.129819,0.324698,1.290677,0.470475,1.327331,1.703985,1.005884,1.264735,0.178109,1.817038,0.64128,1.24492,0,-1.309821,0,0,0
'@xbfdr yeah i\'m sure depressing talk parent phone instead talking downstairs',1,1,0,1,1,-2,1.218,-4.686,0.541,-3.167,0,0,1,0,0,1,0,0,1,1,0.395929,0.242948,0.122857,0.209656,0.234743,0.073426,0.185897,0.371219,0.961628,0.52348,1.163188,0.115256,0.707295,0.156939,0,1.87959,0.94887,0,0.176873,-0.395833,0,0,0
